reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2770CT2B6TDKI,B000DLB2FI,Trucky,"[0, 2]","I purchased this filter with my Keurig coffee maker, have not used it and probable won't. For the cost of the Keurig coffee maker, which is a great coffee maker, this filter should come with it.",1.0,Not much use,1231632000,"01 11, 2009"
A2R6QN0TNC48RY,B00266X5IA,Goddess Arya,"[0, 0]","Floats, even if I'm on it it tries to float and is impossible to actually lie on it comfortably. Threw it out pretty quick &#62;.&#60;",1.0,floats - useless,1386547200,"12 9, 2013"
A36D7M4SEM7YQM,B000063CBT,Kimberly Barnhart,"[0, 4]","Finally, when it actually WAS over a year since I had received the coffeemaker, when I called to check on the status of my warranty claim, they said, ""Your warranty has expired. You've had this coffeemaker over one year. There is nothing we can do."" I highly recommend you find a coffeemaker from a manufacturer that stands behind their product! I have a Cuisinart now, and it is WONDERFUL!",1.0,SAVE YOUR MONEY!!!!,1176768000,"04 17, 2007"
A35JPD8Q492FJC,B0000CFQ4J,Firefly,"[10, 10]","Like others have said, these burnished beaters can never be washed in the dishwasher. I had no trouble soaking mine in the sink, but one trip through the DW was all it took to ruin it. The really icky part is I used the beater once before noticing that not only did it not shine, but also it was coated with aluminum powder! YUUUUCK!! Unless you are the kind of person who cooks and immediately cleans up by hand, get the coated kind, because KA no longer makes the stainless beaters. This is a good example of the sad deterioration in overall KA quality.",1.0,Horrible,1338595200,"06 2, 2012"
A2NX6MFZP8TM6S,B005A32W94,Deanokat,"[5, 6]","The concept of the Ambia ACH-120 Portable Two Zone Ceramic Heater is ingenious. A dual-module heater where one of the modules detaches and can be moved up to 6 feet away from the base unit? What a great idea! The heater also generates a decent amount of heat. But the big problem I have with it is the noise it makes. The fan itself is pretty noisy. And because it has a thermostat that cycles the unit on/off in order to maintain a desired temperature, the unit goes on/off quite frequently. To make matters worse, it's not a gradual on/off, either. It's a very abrupt on; and a very abrupt off. And when it goes on, there's a pretty loud click that accompanies that, too. I haven't owned a lot of ceramic heaters. In fact, I only have one other one. But that one has a fan that gradually slows down/speeds up in order to maintain the desired temperature. That approach is much less annoying, in my opinion. The noise this heater makes when it goes on/off even scares my cats. I really like the concept behind this unit. And it does a decent job of heating up a small room. I just don't like the noise it makes. One last point: It would be nice if this heater had more than just the one fan speed setting. A low/high option would've been a nice feature.UPDATE (2/16/13): This heater has been retired from use because of two reasons. 1.) The right unit only works intermittently now. It became a crap shoot as to whether or not the right side would work every time I turned the heater on. Sometimes it would. Sometimes it wouldn't. I felt like it was unsafe to operate the unit. 2.) My wife discovered that while the heater was running the plug got incredibly hot. Not just warm, but HOT. We never plugged it into an extension cord or power strip; only a grounded wall outlet. But the plug got so hot it was almost too hot to touch. Again, it seemed like a safety issue. We already disliked the very noisy fan and the loud clicking noise it made when it came on. The safety concerns were the last straw. I would recommend staying away from this heater.",1.0,"Nice concept, but kind of noisy. Safety concerns, too.",1317340800,"09 30, 2011"
A3E3ZCN2OTR8ID,B000WLYO3G,"Carolina Girl ""Airedales are for me!""","[0, 0]","Chantal refuses to stand behind their defective products.  After you own these pans for about 6-8 years the outer color start to change/oxidize to a brownish color and when you contact Chantal they are arrogant to you and refuse to exchange the defective products for new ones.  I must own about 40 piece of Chantal and all the Copper Fusion line have this problem but the old classic line does not.  There is just to much competition for cookware.  I've had Silit for over a decade and it look just brand new like the day I bought it.  I would spend my money elsewhere like Silit, Staub, or super expensive Le Creuset",1.0,Chantal service is terrible: they refuse to stand behind their warranties,1285977600,"10 2, 2010"
A2B3O38ZUQQWBY,B00008DHQ1,"Amazon shopper ""rk4321""","[18, 19]","This chopper does a poor job, with a fine line between chopping and pulverizing, and takes way too much effort to chop a reasonable portion of most vegetables.A complete disappointment for onions and bell peppers.  A knife is almost as fast, yet effortless.  Of course, the human ability to rationalize any decision they make leaves one wanting to say something good about the product, but this thing really is a piece of junk.",1.0,Junk,1126742400,"09 15, 2005"
A1MGTVBHEGY1O2,B0050JL4EW,"Taura King ""tauraking""","[0, 3]","I wish I would have paid more attention to the customers who complained about the smell.  If you have a room that the doors will be closed, it is virtually impossible for the smell to dissipate.  I have asthema and just could not breathe, the smell was horrendous and would not go away.  I had to return........",1.0,Smell just does not go away!,1357603200,"01 8, 2013"
A1C2GFOPBDFM8L,B00029QRSS,David S. Lott,"[4, 6]","I am a big fan of All Clad products and have never been dissatisfied with an All Clad item until this one, which I returned. The seal is simply too tight (and I am not frail). It's hard to open and susceptible to spills.",1.0,Swing and a Miss by All Clad,1247011200,"07 8, 2009"
A52QWKNDVJJV5,B0073GIN08,Linda B. Merrill,"[9, 11]",I am revising my original review. I used the instant pot pressure cooker less than 5 times before the seal broke. I contacted the company to tell them the seal was leaking.  They gave instructions to test the seal. I did this and told them it leaked. Then they asked me to explain what happened. After I told them what happened I got an email saying my ticket was closed. I contacted Amazon and asked for a refund since they failed to help fix the problem.I would advise to check for another brand!,1.0,Company not easy to work with,1386201600,"12 5, 2013"
A2AIQYXKN9V80L,B007OM9W2E,BD King,"[5, 7]","I got this for Olive oil.  Unfortunately, no matter how tight I screw on the top, some Olive oil leaks from the cap when I use it, makikng the bottle oily and slippery.",1.0,The Cap Leaks,1351036800,"10 24, 2012"
A20HOXK7EKSUCA,B000225ODY,BigMac,"[1, 1]","I originally gave this item 5 stars.  It installed easily and was staying 'put' nicely.  A couple of months later - not so much.  The really odd thing is, the shower where it was installed is for guests only.  That shower literally has not been used for 2 months.  In spite of non-use, the soap dish recently, and spontaneously, fell off the shower wall onto the floor.  It didn't break, so I re-attached it.  One day later, it fell off the wall again.  Given it's a soap dish, I think it's reasonable to expect that the weight of 1 standard-size bar of bath soap shouldn't cause that to happen.",1.0,Worked Well - Past Tense,1398384000,"04 25, 2014"
